game_id, p1            , p2              , p3              , p4
     50, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
     52, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
     53, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
     48, Heuristic     , ISMCTS-PUCT     , ISMCTS-Heuristic, ISMCTS-Basic
     51, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
     49, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
     47, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
     54, ISMCTS-PUCT   , Heuristic       , ISMCTS-Basic    , ISMCTS-Heuristic
     55, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
     59, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
     57, ISMCTS-PUCT   , Heuristic       , ISMCTS-Basic    , ISMCTS-Heuristic
     56, ISMCTS-PUCT   , ISMCTS-Heuristic, Heuristic       , ISMCTS-Basic
     60, Heuristic     , ISMCTS-PUCT     , ISMCTS-Heuristic, ISMCTS-Basic
     58, Heuristic     , ISMCTS-PUCT     , ISMCTS-Heuristic, ISMCTS-Basic
     62, ISMCTS-PUCT   , Heuristic       , ISMCTS-Basic    , ISMCTS-Heuristic
     61, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
     63, ISMCTS-PUCT   , Heuristic       , ISMCTS-Basic    , ISMCTS-Heuristic
     66, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
     67, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
     68, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
     69, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
     64, ISMCTS-PUCT   , Heuristic       , ISMCTS-Basic    , ISMCTS-Heuristic
     65, Heuristic     , ISMCTS-PUCT     , ISMCTS-Basic    , ISMCTS-Heuristic
     72, ISMCTS-PUCT   , Heuristic       , ISMCTS-Basic    , ISMCTS-Heuristic
     71, Heuristic     , ISMCTS-PUCT     , ISMCTS-Basic    , ISMCTS-Heuristic
     70, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
     73, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
     76, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
     75, ISMCTS-PUCT   , Heuristic       , ISMCTS-Basic    , ISMCTS-Heuristic
     74, ISMCTS-PUCT   , Heuristic       , ISMCTS-Basic    , ISMCTS-Heuristic
     77, Heuristic     , ISMCTS-PUCT     , ISMCTS-Basic    , ISMCTS-Heuristic
     80, ISMCTS-PUCT   , Heuristic       , ISMCTS-Basic    , ISMCTS-Heuristic
     79, Heuristic     , ISMCTS-PUCT     , ISMCTS-Heuristic, ISMCTS-Basic
     81, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
     78, Heuristic     , ISMCTS-PUCT     , ISMCTS-Basic    , ISMCTS-Heuristic
     82, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
     83, ISMCTS-PUCT   , Heuristic       , ISMCTS-Basic    , ISMCTS-Heuristic
     84, Heuristic     , ISMCTS-PUCT     , ISMCTS-Basic    , ISMCTS-Heuristic
     85, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
     88, ISMCTS-PUCT   , Heuristic       , ISMCTS-Basic    , ISMCTS-Heuristic
     86, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
     90, ISMCTS-PUCT   , Heuristic       , ISMCTS-Basic    , ISMCTS-Heuristic
     91, ISMCTS-PUCT   , Heuristic       , ISMCTS-Basic    , ISMCTS-Heuristic
     89, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
     93, ISMCTS-PUCT   , Heuristic       , ISMCTS-Basic    , ISMCTS-Heuristic
     87, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
     95, ISMCTS-PUCT   , Heuristic       , ISMCTS-Basic    , ISMCTS-Heuristic
     94, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
     98, ISMCTS-PUCT   , Heuristic       , ISMCTS-Basic    , ISMCTS-Heuristic
     97, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
     92, ISMCTS-PUCT   , Heuristic       , ISMCTS-Basic    , ISMCTS-Heuristic
     96, ISMCTS-PUCT   , Heuristic       , ISMCTS-Basic    , ISMCTS-Heuristic
    101, ISMCTS-PUCT   , Heuristic       , ISMCTS-Basic    , ISMCTS-Heuristic
    100, Heuristic     , ISMCTS-PUCT     , ISMCTS-Basic    , ISMCTS-Heuristic
    105, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
     99, ISMCTS-PUCT   , Heuristic       , ISMCTS-Basic    , ISMCTS-Heuristic
    102, ISMCTS-PUCT   , Heuristic       , ISMCTS-Basic    , ISMCTS-Heuristic
    104, Heuristic     , ISMCTS-Basic    , ISMCTS-PUCT     , ISMCTS-Heuristic
    103, Heuristic     , ISMCTS-Basic    , ISMCTS-PUCT     , ISMCTS-Heuristic
    106, ISMCTS-PUCT   , Heuristic       , ISMCTS-Basic    , ISMCTS-Heuristic
    107, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
    108, ISMCTS-PUCT   , Heuristic       , ISMCTS-Basic    , ISMCTS-Heuristic
    109, Heuristic     , ISMCTS-PUCT     , ISMCTS-Heuristic, ISMCTS-Basic
    111, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
    112, ISMCTS-PUCT   , Heuristic       , ISMCTS-Basic    , ISMCTS-Heuristic
    110, Heuristic     , ISMCTS-PUCT     , ISMCTS-Basic    , ISMCTS-Heuristic
    114, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
    113, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
    115, ISMCTS-PUCT   , Heuristic       , ISMCTS-Basic    , ISMCTS-Heuristic
    119, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
    117, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
    116, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
    118, ISMCTS-PUCT   , Heuristic       , ISMCTS-Basic    , ISMCTS-Heuristic
    121, Heuristic     , ISMCTS-PUCT     , ISMCTS-Heuristic, ISMCTS-Basic
    120, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
    123, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
    122, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
    126, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
    124, ISMCTS-PUCT   , Heuristic       , ISMCTS-Basic    , ISMCTS-Heuristic
    128, ISMCTS-PUCT   , Heuristic       , ISMCTS-Basic    , ISMCTS-Heuristic
    127, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
    129, ISMCTS-PUCT   , Heuristic       , ISMCTS-Basic    , ISMCTS-Heuristic
    125, Heuristic     , ISMCTS-PUCT     , ISMCTS-Heuristic, ISMCTS-Basic
    130, ISMCTS-PUCT   , Heuristic       , ISMCTS-Basic    , ISMCTS-Heuristic
    133, ISMCTS-PUCT   , Heuristic       , ISMCTS-Basic    , ISMCTS-Heuristic
    131, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
    134, ISMCTS-PUCT   , Heuristic       , ISMCTS-Basic    , ISMCTS-Heuristic
    135, Heuristic     , ISMCTS-PUCT     , ISMCTS-Heuristic, ISMCTS-Basic
    136, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
    132, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
    137, ISMCTS-PUCT   , Heuristic       , ISMCTS-Basic    , ISMCTS-Heuristic
    140, ISMCTS-PUCT   , Heuristic       , ISMCTS-Basic    , ISMCTS-Heuristic
    138, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
    142, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
    139, Heuristic     , ISMCTS-PUCT     , ISMCTS-Heuristic, ISMCTS-Basic
    141, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
    143, ISMCTS-PUCT   , ISMCTS-Basic    , Heuristic       , ISMCTS-Heuristic
    144, ISMCTS-PUCT   , ISMCTS-Basic    , Heuristic       , ISMCTS-Heuristic
    145, ISMCTS-PUCT   , Heuristic       , ISMCTS-Basic    , ISMCTS-Heuristic
    147, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
    149, ISMCTS-PUCT   , Heuristic       , ISMCTS-Basic    , ISMCTS-Heuristic
    148, ISMCTS-PUCT   , Heuristic       , ISMCTS-Basic    , ISMCTS-Heuristic
    146, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
    151, ISMCTS-PUCT   , Heuristic       , ISMCTS-Basic    , ISMCTS-Heuristic
    150, Heuristic     , ISMCTS-PUCT     , ISMCTS-Heuristic, ISMCTS-Basic
    154, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
    153, ISMCTS-PUCT   , Heuristic       , ISMCTS-Basic    , ISMCTS-Heuristic
    152, ISMCTS-PUCT   , Heuristic       , ISMCTS-Basic    , ISMCTS-Heuristic
    156, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
    155, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
    158, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
    157, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
    159, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
    160, ISMCTS-PUCT   , Heuristic       , ISMCTS-Basic    , ISMCTS-Heuristic
    161, Heuristic     , ISMCTS-PUCT     , ISMCTS-Heuristic, ISMCTS-Basic
    165, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
    162, ISMCTS-PUCT   , Heuristic       , ISMCTS-Basic    , ISMCTS-Heuristic
    163, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
    164, Heuristic     , ISMCTS-PUCT     , ISMCTS-Heuristic, ISMCTS-Basic
    167, ISMCTS-PUCT   , Heuristic       , ISMCTS-Basic    , ISMCTS-Heuristic
    166, Heuristic     , ISMCTS-PUCT     , ISMCTS-Heuristic, ISMCTS-Basic
    172, ISMCTS-PUCT   , Heuristic       , ISMCTS-Basic    , ISMCTS-Heuristic
    169, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
    168, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
    173, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
    170, Heuristic     , ISMCTS-Heuristic, ISMCTS-PUCT     , ISMCTS-Basic
    171, Heuristic     , ISMCTS-PUCT     , ISMCTS-Basic    , ISMCTS-Heuristic
    175, Heuristic     , ISMCTS-PUCT     , ISMCTS-Heuristic, ISMCTS-Basic
    174, ISMCTS-PUCT   , Heuristic       , ISMCTS-Basic    , ISMCTS-Heuristic
    176, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
    177, ISMCTS-PUCT   , Heuristic       , ISMCTS-Basic    , ISMCTS-Heuristic
    179, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
    178, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
    180, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
    182, Heuristic     , ISMCTS-PUCT     , ISMCTS-Heuristic, ISMCTS-Basic
    181, ISMCTS-PUCT   , Heuristic       , ISMCTS-Basic    , ISMCTS-Heuristic
    184, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
    183, ISMCTS-PUCT   , Heuristic       , ISMCTS-Basic    , ISMCTS-Heuristic
    185, Heuristic     , ISMCTS-PUCT     , ISMCTS-Basic    , ISMCTS-Heuristic
    186, ISMCTS-PUCT   , Heuristic       , ISMCTS-Basic    , ISMCTS-Heuristic
    187, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
    188, Heuristic     , ISMCTS-PUCT     , ISMCTS-Basic    , ISMCTS-Heuristic
    189, ISMCTS-PUCT   , Heuristic       , ISMCTS-Basic    , ISMCTS-Heuristic
    191, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
    190, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
    192, ISMCTS-PUCT   , Heuristic       , ISMCTS-Basic    , ISMCTS-Heuristic
    193, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
    195, ISMCTS-PUCT   , Heuristic       , ISMCTS-Basic    , ISMCTS-Heuristic
    196, ISMCTS-PUCT   , Heuristic       , ISMCTS-Basic    , ISMCTS-Heuristic
    194, ISMCTS-PUCT   , Heuristic       , ISMCTS-Basic    , ISMCTS-Heuristic
    198, ISMCTS-PUCT   , Heuristic       , ISMCTS-Basic    , ISMCTS-Heuristic
    199, Heuristic     , ISMCTS-PUCT     , ISMCTS-Heuristic, ISMCTS-Basic
    197, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
    200, Heuristic     , ISMCTS-PUCT     , ISMCTS-Basic    , ISMCTS-Heuristic
    201, ISMCTS-PUCT   , ISMCTS-Basic    , Heuristic       , ISMCTS-Heuristic
    204, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
    203, Heuristic     , ISMCTS-PUCT     , ISMCTS-Heuristic, ISMCTS-Basic
    202, Heuristic     , ISMCTS-PUCT     , ISMCTS-Basic    , ISMCTS-Heuristic
    206, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
    205, ISMCTS-PUCT   , Heuristic       , ISMCTS-Basic    , ISMCTS-Heuristic
    207, ISMCTS-PUCT   , Heuristic       , ISMCTS-Basic    , ISMCTS-Heuristic
    209, ISMCTS-PUCT   , Heuristic       , ISMCTS-Basic    , ISMCTS-Heuristic
    210, Heuristic     , ISMCTS-PUCT     , ISMCTS-Basic    , ISMCTS-Heuristic
    208, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
    213, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
    211, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
    212, Heuristic     , ISMCTS-PUCT     , ISMCTS-Heuristic, ISMCTS-Basic
    215, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
    214, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
    217, Heuristic     , ISMCTS-PUCT     , ISMCTS-Heuristic, ISMCTS-Basic
    220, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
    218, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
    221, Heuristic     , ISMCTS-PUCT     , ISMCTS-Heuristic, ISMCTS-Basic
    216, ISMCTS-PUCT   , ISMCTS-Basic    , Heuristic       , ISMCTS-Heuristic
    219, ISMCTS-PUCT   , Heuristic       , ISMCTS-Basic    , ISMCTS-Heuristic
    223, Heuristic     , ISMCTS-PUCT     , ISMCTS-Heuristic, ISMCTS-Basic
    222, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
    226, ISMCTS-PUCT   , Heuristic       , ISMCTS-Basic    , ISMCTS-Heuristic
    225, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
    224, ISMCTS-PUCT   , Heuristic       , ISMCTS-Basic    , ISMCTS-Heuristic
    227, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
    229, ISMCTS-PUCT   , Heuristic       , ISMCTS-Basic    , ISMCTS-Heuristic
    228, ISMCTS-PUCT   , Heuristic       , ISMCTS-Basic    , ISMCTS-Heuristic
    231, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
    230, ISMCTS-PUCT   , Heuristic       , ISMCTS-Basic    , ISMCTS-Heuristic
    233, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
    234, Heuristic     , ISMCTS-PUCT     , ISMCTS-Heuristic, ISMCTS-Basic
    232, ISMCTS-PUCT   , Heuristic       , ISMCTS-Basic    , ISMCTS-Heuristic
    236, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
    235, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
    243, Heuristic     , ISMCTS-PUCT     , ISMCTS-Heuristic, ISMCTS-Basic
    239, Heuristic     , ISMCTS-PUCT     , ISMCTS-Heuristic, ISMCTS-Basic
    237, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
    242, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
    238, Heuristic     , ISMCTS-PUCT     , ISMCTS-Heuristic, ISMCTS-Basic
    241, Heuristic     , ISMCTS-PUCT     , ISMCTS-Heuristic, ISMCTS-Basic
    240, Heuristic     , ISMCTS-PUCT     , ISMCTS-Heuristic, ISMCTS-Basic
    245, ISMCTS-PUCT   , Heuristic       , ISMCTS-Basic    , ISMCTS-Heuristic
    247, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
    244, Heuristic     , ISMCTS-PUCT     , ISMCTS-Basic    , ISMCTS-Heuristic
    249, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
    246, ISMCTS-PUCT   , Heuristic       , ISMCTS-Basic    , ISMCTS-Heuristic
    250, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
    248, Heuristic     , ISMCTS-PUCT     , ISMCTS-Heuristic, ISMCTS-Basic
    254, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
    251, Heuristic     , ISMCTS-PUCT     , ISMCTS-Heuristic, ISMCTS-Basic
    256, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
    255, ISMCTS-PUCT   , Heuristic       , ISMCTS-Basic    , ISMCTS-Heuristic
    253, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
    252, Heuristic     , ISMCTS-PUCT     , ISMCTS-Heuristic, ISMCTS-Basic
    257, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
    259, ISMCTS-PUCT   , Heuristic       , ISMCTS-Basic    , ISMCTS-Heuristic
    258, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
    261, ISMCTS-PUCT   , Heuristic       , ISMCTS-Basic    , ISMCTS-Heuristic
    263, ISMCTS-PUCT   , Heuristic       , ISMCTS-Basic    , ISMCTS-Heuristic
    265, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
    262, Heuristic     , ISMCTS-PUCT     , ISMCTS-Basic    , ISMCTS-Heuristic
    260, ISMCTS-PUCT   , Heuristic       , ISMCTS-Basic    , ISMCTS-Heuristic
    264, ISMCTS-PUCT   , Heuristic       , ISMCTS-Basic    , ISMCTS-Heuristic
    266, Heuristic     , ISMCTS-PUCT     , ISMCTS-Heuristic, ISMCTS-Basic
    268, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
    267, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
    270, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
    269, Heuristic     , ISMCTS-PUCT     , ISMCTS-Basic    , ISMCTS-Heuristic
    271, ISMCTS-PUCT   , Heuristic       , ISMCTS-Basic    , ISMCTS-Heuristic
    276, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
    274, ISMCTS-PUCT   , Heuristic       , ISMCTS-Basic    , ISMCTS-Heuristic
    272, Heuristic     , ISMCTS-PUCT     , ISMCTS-Heuristic, ISMCTS-Basic
    275, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
    273, Heuristic     , ISMCTS-PUCT     , ISMCTS-Heuristic, ISMCTS-Basic
    277, ISMCTS-PUCT   , Heuristic       , ISMCTS-Basic    , ISMCTS-Heuristic
    281, ISMCTS-PUCT   , Heuristic       , ISMCTS-Basic    , ISMCTS-Heuristic
    280, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
    279, Heuristic     , ISMCTS-PUCT     , ISMCTS-Basic    , ISMCTS-Heuristic
    278, Heuristic     , ISMCTS-PUCT     , ISMCTS-Basic    , ISMCTS-Heuristic
    282, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
    283, Heuristic     , ISMCTS-Heuristic, ISMCTS-PUCT     , ISMCTS-Basic
    285, ISMCTS-PUCT   , Heuristic       , ISMCTS-Basic    , ISMCTS-Heuristic
    284, Heuristic     , ISMCTS-PUCT     , ISMCTS-Basic    , ISMCTS-Heuristic
    287, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
    286, Heuristic     , ISMCTS-PUCT     , ISMCTS-Basic    , ISMCTS-Heuristic
    290, ISMCTS-PUCT   , Heuristic       , ISMCTS-Basic    , ISMCTS-Heuristic
    289, ISMCTS-PUCT   , Heuristic       , ISMCTS-Basic    , ISMCTS-Heuristic
    288, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
    291, ISMCTS-PUCT   , Heuristic       , ISMCTS-Basic    , ISMCTS-Heuristic
    292, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
    293, ISMCTS-PUCT   , Heuristic       , ISMCTS-Basic    , ISMCTS-Heuristic
